label_col,bucket_method,feat_encoding,cls,nr_events,predicted,actual,case_id
remtime,zero,agg,xgb,2,16.022121,7.938634259259259,1010390571_2
remtime,zero,agg,xgb,2,16.950876,16.10423611111111,1017644369_2
remtime,zero,agg,xgb,2,15.084945,9.839756944444442,1019849833_2
remtime,zero,agg,xgb,2,20.018145,5.559513888888889,102041449_2
remtime,zero,agg,xgb,2,17.820498,11.642974537037036,1023366085_2
remtime,zero,agg,xgb,2,16.633741,7.345717592592592,1036492833_2
remtime,zero,agg,xgb,2,14.934818,3.0300694444444445,1043190619_2
remtime,zero,agg,xgb,2,15.700445,6.962280092592592,1047194763_2
remtime,zero,agg,xgb,2,19.243385,1.8239583333333331,1068144226_2
remtime,zero,agg,xgb,2,17.903809,8.327314814814812,109999371_2
remtime,zero,agg,xgb,2,17.903809,5.815439814814815,1102768033_2
remtime,zero,agg,xgb,2,14.401413,0.1003125,1107169322_2
remtime,zero,agg,xgb,2,14.775059,8.923923611111109,1124966685_2
remtime,zero,agg,xgb,2,16.27282,8.872233796296298,1130289017_2
remtime,zero,agg,xgb,2,16.920176,10.173842592592592,1140236377_2
remtime,zero,agg,xgb,2,12.048048,7.274490740740742,115875432_2
remtime,zero,agg,xgb,2,15.638555,13.648125,1161266589_2
remtime,zero,agg,xgb,2,14.260505,1.933703703703704,1164895484_2
remtime,zero,agg,xgb,2,18.674597,4.697222222222221,1170931347_2
remtime,zero,agg,xgb,2,19.637997,10.704016203703702,117667027_2
remtime,zero,agg,xgb,2,13.418649,12.835787037037035,1179073626_2
remtime,zero,agg,xgb,2,11.001963,8.056064814814814,1181289999_2
remtime,zero,agg,xgb,2,14.491492,8.846712962962963,1191708035_2
remtime,zero,agg,xgb,2,15.116537,12.992118055555556,1191906778_2
remtime,zero,agg,xgb,2,16.441517,6.723680555555554,1194598473_2
remtime,zero,agg,xgb,2,17.253792,7.553252314814816,1204431926_2
remtime,zero,agg,xgb,2,18.998848,9.861736111111114,1206779440_2
remtime,zero,agg,xgb,2,15.956412,10.044594907407408,1212433332_2
remtime,zero,agg,xgb,2,15.757506,5.097731481481481,1219509855_2
