,Gini-importance
FirstWithdrawalAmount_max,0.05949120459895022
NumberOfTerms_max,0.059224999122139084
NumberOfTerms_mean,0.05877062242009694
FirstWithdrawalAmount_min,0.0576906689232433
FirstWithdrawalAmount_mean,0.057139748622431784
NumberOfTerms_min,0.05556688003430293
FirstWithdrawalAmount_sum,0.052294331677178396
OfferedAmount_sum,0.05002406423074602
OfferedAmount_min,0.048871115843399454
NumberOfTerms_sum,0.048318148112515474
OfferedAmount_mean,0.045688755185631376
OfferedAmount_max,0.045534639132759895
duration_sum,0.03458071419348445
duration_max,0.028428697858283728
LoanGoal_Car,0.027553343459872905
duration_std,0.027310534211363827
LoanGoal_Home improvement,0.025738828751758928
duration_mean,0.02329023187076193
Activity_W_Handle_leads,0.019866149847726944
Resource_User_1,0.019367117133606462
