Case ID,Activity,Resource,Complete Timestamp,Variant index,ApplicationType,LoanGoal,label,Action,EventOrigin,FirstWithdrawalAmount,NumberOfTerms,OfferedAmount,duration,event_nr,remtime
1002747267,A_Create_Application,User_1,2016/10/10 18:27:48,12,New credit,Home improvement,True,Created,Application,15000.0,48.0,15000.0,0.0,1,7.245104166666667
1002747267,A_Submitted,User_1,2016/10/10 18:27:49,12,New credit,Home improvement,True,statechange,Application,15000.0,48.0,15000.0,1.4699074074074075e-07,2,7.245092592592592
1002747267,A_Concept,User_1,2016/10/10 18:28:28,12,New credit,Home improvement,True,statechange,Application,15000.0,48.0,15000.0,7.598958333333333e-06,3,7.244641203703703
1002747267,A_Accepted,other,2016/10/11 21:55:32,12,New credit,Home improvement,True,statechange,Application,15000.0,48.0,15000.0,0.019063224537037037,4,6.100844907407407
1002747267,O_Create_Offer,other,2016/10/11 21:58:19,12,New credit,Home improvement,True,Created,Offer,15000.0,48.0,15000.0,3.231269290162037e-05,5,6.098912037037037
1002747267,O_Created,other,2016/10/11 21:58:20,12,New credit,Home improvement,True,statechange,Offer,15000.0,48.0,15000.0,1.2519290162037036e-07,6,6.098900462962963
1002747267,O_Sent_(mail_and_online),other,2016/10/11 22:01:31,12,New credit,Home improvement,True,statechange,Offer,15000.0,48.0,15000.0,3.674112654282408e-05,7,6.096689814814815
1002747267,W_Complete_application,other,2016/10/11 22:01:31,12,New credit,Home improvement,True,Deleted,Workflow,15000.0,48.0,15000.0,2.3148148148148148e-09,8,6.096689814814815
1002747267,A_Complete,other,2016/10/11 22:01:31,12,New credit,Home improvement,True,statechange,Application,15000.0,48.0,15000.0,3.858024691358021e-10,9,6.096689814814815
1002747267,A_Validating,User_123,2016/10/14 21:55:15,12,New credit,Home improvement,True,statechange,Application,15000.0,48.0,15000.0,0.04992762075617246,10,3.1010416666666667
1002747267,O_Returned,User_123,2016/10/14 21:55:24,12,New credit,Home improvement,True,statechange,Offer,15000.0,48.0,15000.0,1.7185570983796295e-06,11,3.1009375
1002747267,A_Denied,other,2016/10/18 00:20:44,12,New credit,Home improvement,True,statechange,Application,15000.0,48.0,15000.0,0.05168213078703704,12,1.1574074074074073e-05
1002747267,O_Refused,other,2016/10/18 00:20:45,12,New credit,Home improvement,True,statechange,Offer,15000.0,48.0,15000.0,5.594135416666667e-09,13,0.0
1002747267,W_Validate_application,other,2016/10/18 00:20:45,12,New credit,Home improvement,True,Deleted,Workflow,15000.0,48.0,15000.0,1.543209490740741e-09,14,0.0
1009850069,A_Create_Application,User_1,2016/10/11 20:37:37,26,New credit,Existing loan takeover,False,Created,Application,3500.0,127.0,20000.0,0.0,1,12.974849537037038
1009850069,A_Submitted,User_1,2016/10/11 20:37:38,26,New credit,Existing loan takeover,False,statechange,Application,3500.0,127.0,20000.0,1.4390432060185186e-07,2,12.974837962962964
1009850069,A_Concept,User_1,2016/10/11 20:38:21,26,New credit,Existing loan takeover,False,statechange,Application,3500.0,127.0,20000.0,8.264467592592591e-06,3,12.974340277777777
1009850069,A_Accepted,other,2016/10/13 18:14:17,26,New credit,Existing loan takeover,False,statechange,Application,3500.0,127.0,20000.0,0.031666014660494214,4,11.074386574074074
1009850069,O_Create_Offer,other,2016/10/13 18:15:43,26,New credit,Existing loan takeover,False,Created,Offer,3500.0,127.0,20000.0,1.6501157407407407e-05,5,11.073391203703704
